input_symbol,ensembl_gene_id,ensembl_transcript_id,entrez_id,hgnc_id,refseq_id,uniprot_id,mapping_success,mapped_types_count,mapping_completeness_percent
SDHA,ENSG00000073578,ENST00000264932,6389,HGNC:10680,NM_004168,P31040,True,6,100.0
UBC,ENSG00000150991,ENST00000339647,7316,HGNC:12468,NM_021009,P0CG48,True,6,100.0
CYC1,ENSG00000179091,ENST00000318911,1537,HGNC:2579,NM_001916,P08574,True,6,100.0
EIF4A2,ENSG00000156976,ENST00000323963,1974,HGNC:3284,NM_001967,Q14240,True,6,100.0
PPIA,ENSG00000196262,ENST00000468812,5478,HGNC:9253,NM_021130,P62937,True,6,100.0
RPL32,ENSG00000144713,ENST00000429711,6161,HGNC:10336,NM_000994,P62910,True,6,100.0
HMBS,ENSG00000256269,ENST00000652429,3145,HGNC:4982,NM_000190,P08397,True,6,100.0
TFRC,ENSG00000072274,ENST00000360110,7037,HGNC:11763,NM_001128148,P02786,True,6,100.0
TOP1,ENSG00000198900,ENST00000361337,7150,HGNC:11986,NM_003286,P11387,True,6,100.0
ABCB1,ENSG00000085563,ENST00000622132,5243,HGNC:40,NM_000927,P08183,True,6,100.0
ABCC1,ENSG00000103222,ENST00000399410,4363,HGNC:51,NM_004996,P33527,True,6,100.0
ABCG2,ENSG00000118777,ENST00000237612,9429,HGNC:74,NM_004827,Q9UNQ0,True,6,100.0
CYP1A1,ENSG00000140465,ENST00000379727,1543,HGNC:2595,NM_000499,P04798,True,6,100.0
CYP1A2,ENSG00000140505,ENST00000343932,1544,HGNC:2596,NM_000761,P05177,True,6,100.0
CYP2C9,ENSG00000138109,ENST00000260682,1559,HGNC:2623,NM_000771,P11712,True,6,100.0
CYP2C19,ENSG00000165841,ENST00000371321,1557,HGNC:2621,NM_000769,P33261,True,6,100.0
CYP2D6,ENSG00000100197,ENST00000645361,1565,HGNC:2625,NM_000106,P10635,True,6,100.0
CYP3A4,ENSG00000160868,ENST00000651514,1576,HGNC:2637,NM_001202855,P08684,True,6,100.0
UGT1A1,ENSG00000241635,ENST00000305208,54658,HGNC:12530,NM_000463,P22309,True,6,100.0
GSTP1,ENSG00000084207,ENST00000398606,2950,HGNC:4638,NM_000852,P09211,True,6,100.0
GSTM1,ENSG00000134184,ENST00000309851,2944,HGNC:4632,NM_000561,P09488,True,6,100.0
GSTT1,ENSG00000277656,ENST00000612885,2952,HGNC:4641,NM_000853,P30711,True,6,100.0
DPYD,ENSG00000188641,ENST00000370192,1806,HGNC:3012,NM_000110,Q12882,True,6,100.0
TPMT,ENSG00000137364,ENST00000309983,7172,HGNC:12014,NM_000367,P51580,True,6,100.0
COMT,ENSG00000093010,ENST00000361682,1312,HGNC:2228,NM_000754,P21964,True,6,100.0
MTHFR,ENSG00000177000,ENST00000376590,4524,HGNC:7436,NM_005957,P42898,True,6,100.0
TYMS,ENSG00000176890,ENST00000323274,7298,HGNC:12441,NM_001071,P04818,True,6,100.0
ERCC1,ENSG00000012061,ENST00000300853,2067,HGNC:3433,NM_001983,P07992,True,6,100.0
XRCC1,ENSG00000073050,ENST00000262887,7515,HGNC:12828,NM_006297,P18887,True,6,100.0
CD19,ENSG00000177455,ENST00000538922,930,HGNC:1633,NM_001178098,P15391,True,6,100.0
CD20,ENSG00000078081,ENST00000265598,27074,HGNC:14582,NM_014398,Q9UQV4,True,6,100.0
CD3E,ENSG00000198851,ENST00000361763,916,HGNC:1674,NM_000733,P07766,True,6,100.0
CD4,ENSG00000010610,ENST00000011653,920,HGNC:1678,NM_000616,P01730,True,6,100.0
CD8A,ENSG00000153563,ENST00000283635,925,HGNC:1706,NM_001768,P01732,True,6,100.0
FOXP3,ENSG00000049768,ENST00000376207,50943,HGNC:6106,NM_014009,Q9BZS1,True,6,100.0
IL2,ENSG00000109471,ENST00000226730,3558,HGNC:6001,NM_000586,P60568,True,6,100.0
IL10,ENSG00000136634,ENST00000423557,3586,HGNC:5962,NM_000572,P22301,True,6,100.0
TNF,ENSG00000232810,ENST00000449264,7124,HGNC:11892,NM_000594,P01375,True,6,100.0
IFNG,ENSG00000111537,ENST00000229135,3458,HGNC:5438,NM_000619,P01579,True,6,100.0
VEGFA,ENSG00000112715,ENST00000672860,7422,HGNC:12680,NM_001025366,P15692,True,6,100.0
INS,ENSG00000254647,ENST00000381330,3630,HGNC:6081,NM_000207,P01308,True,6,100.0
