input_hgnc_id,symbol,ensembl_gene_id,ensembl_transcript_id,entrez_id,refseq_id,uniprot_id
HGNC:4621,GSPT1,ENSG00000103342,ENST00000434724,2935,NM_002094,P15170
HGNC:4622,GSPT2,ENSG00000189369,ENST00000340438,23708,NM_018094,Q8IYD1
HGNC:4623,GSR,ENSG00000104687,ENST00000221130,2936,NM_000637,P00390
HGNC:2876,DIAPH1,ENSG00000131504,ENST00000389054,1729,NM_005219,O60610
HGNC:11875,TMPO,ENSG00000120802,ENST00000556029,7112,NM_003276,P42166
HGNC:2020,CLCN2,ENSG00000114859,ENST00000265593,1181,NM_001171087,P51788
HGNC:7436,MTHFR,ENSG00000177000,ENST00000376590,4524,NM_005957,P42898
HGNC:12444,,,,,,
HGNC:3434,ERCC2,ENSG00000104884,ENST00000391945,2068,NM_000400,P18074
HGNC:12678,,,,,,
HGNC:1019,,,,,,
HGNC:1759,CDH2,ENSG00000170558,ENST00000269141,1000,NM_001792,P19022
HGNC:1771,CDK2,ENSG00000123374,ENST00000266970,1017,NM_001290230,P24941
HGNC:1773,CDK4,ENSG00000135446,ENST00000257904,1019,NM_000075,P11802
HGNC:1706,CD8A,ENSG00000153563,ENST00000283635,925,NM_001768,P01732
HGNC:3695,FGL1,ENSG00000104760,ENST00000427924,2267,NM_004467,Q08830
HGNC:6001,IL2,ENSG00000109471,ENST00000226730,3558,NM_000586,P60568
HGNC:6005,IL21,ENSG00000138684,ENST00000648588,59067,NM_021803,Q9HBE4
HGNC:11892,TNF,ENSG00000232810,ENST00000449264,7124,NM_000594,P01375
HGNC:5379,,,,,,
HGNC:12680,VEGFA,ENSG00000112715,ENST00000672860,7422,NM_001025366,P15692
HGNC:6018,IL6,ENSG00000136244,ENST00000258743,3569,NM_000600,P05231
