input_uniprot_id,symbol,ensembl_gene_id,ensembl_transcript_id,entrez_id,hgnc_id,refseq_id,mapping_success,mapped_types_count,mapping_completeness_percent
P11712,CYP2C9,ENSG00000138109,ENSG00000138109,1559,HGNC:2623,NP_000762.2,True,6,100.0
P05177,CYP1A2,ENSG00000140505,ENSG00000140505,1544,HGNC:2596,NP_000752.2,True,6,100.0
P05181,CYP2E1,ENSG00000130649,ENSG00000130649,1571,HGNC:2631,NP_000764.1,True,6,100.0
P11509,CYP2A6,ENSG00000255974,ENSG00000255974,1548,HGNC:2610,NP_000753.3,True,6,100.0
P10635,CYP2D6,ENSG00000100197,ENSG00000100197,1565,HGNC:2625,NP_000097.3,True,6,100.0
P04798,CYP1A1,ENSG00000140465,ENSG00000140465,1543,HGNC:2595,NP_000490.1,True,6,100.0
P05093,CYP17A1,ENSG00000148795,ENSG00000148795,1586,HGNC:2593,NP_000093.1,True,6,100.0
P10632,CYP2C8,ENSG00000138115,ENSG00000138115,1558,HGNC:2622,NP_000761.3,True,6,100.0
Q02750,MAP2K1,ENSG00000169032,ENSG00000169032,5604,HGNC:6840,NP_002746.1,True,6,100.0
P09467,FBP1,ENSG00000165140,ENSG00000165140,2203,HGNC:3606,NP_000498.2,True,6,100.0
P04179,SOD2,ENSG00000291237,ENSG00000291237,6648,HGNC:11180,NP_000627.2,True,6,100.0
O75874,IDH1,ENSG00000138413,ENSG00000138413,3417,HGNC:5382,NP_001269315.1,True,6,100.0
P16455,MGMT,ENSG00000170430,ENSG00000170430,4255,HGNC:7059,NP_002403.3,True,6,100.0
P01730,CD4,ENSG00000010610,ENSG00000010610,920,HGNC:1678,NP_000607.1,True,6,100.0
P01732,CD8A,ENSG00000153563,ENSG00000153563,925,HGNC:1706,NP_001139345.1,True,6,100.0
P01766,IGHV3-13,ENSG00000211942,ENSG00000211942,28449,HGNC:5581,,True,5,83.3
P42224,STAT1,ENSG00000115415,ENSG00000115415,6772,HGNC:11362,NP_009330.1,True,6,100.0
P60568,IL2,ENSG00000109471,ENSG00000109471,3558,HGNC:6001,NP_000577.2,True,6,100.0
P01375,TNF,ENSG00000232810,ENSG00000204490,7124,HGNC:11892,NP_000585.2,True,6,100.0
P01579,IFNG,ENSG00000111537,ENSG00000111537,3458,HGNC:5438,NP_000610.2,True,6,100.0
P01308,INS,ENSG00000254647,ENSG00000254647,3630,HGNC:6081,NP_000198.1,True,6,100.0
P15692,VEGFA,ENSG00000112715,ENSG00000112715,7422,HGNC:12680,NP_001020537.2,True,6,100.0
